Date,Close/Last,Volume,Open,High,Low,,,,,,,,,
9-Apr-25,146.03,"16,846,800",135.02,147.47,133.88,,,,,,,,,
8-Apr-25,136.93,"12,904,400",144.15,144.49,134.87,,,,,,,,,
7-Apr-25,140.15,"17,817,000",138.73,146.19,137.29,,,,,,,,,
4-Apr-25,143.28,"20,374,700",151.76,152.46,142.75,,,,,,,,,
3-Apr-25,156.12,"15,501,000",160.12,161.35,155.8,,,,,,,,,
2-Apr-25,166.47,"7,044,900",167.4,167.98,165.85,,,,,,,,,
1-Apr-25,168.51,"6,378,600",167.29,168.6,166.16,,,,,,,,,
31-Mar-25,167.29,"10,675,300",166.19,168.92,166.13,,,,,,,,,
28-Mar-25,166.09,"4,923,000",166.7,167.13,165.3,,,,,,,,,
27-Mar-25,166.65,"6,862,700",167.25,168.22,165.85,,,,,,,,,
26-Mar-25,167.97,"10,076,100",167.37,168.96,167.25,,,,,,,,,
25-Mar-25,165.94,"7,869,200",166.08,167.82,165.11,,,,,,,,,
24-Mar-25,165.02,"8,068,000",164.69,166.43,164.32,,,,,,,,,
21-Mar-25,164.75,"21,625,500",164.49,164.89,163.11,,,,,,,,,
20-Mar-25,164.77,"9,545,900",163.13,165.31,162.41,,,,,,,,,
19-Mar-25,164.05,"11,503,900",160.97,164.54,160.9,,,,,,,,,
18-Mar-25,160.81,"9,289,500",159.74,161.09,158.82,,,,,,,,,
17-Mar-25,158.72,"7,615,200",157.22,159.45,156.76,,,,,,,,,
3/14/25,$157.02 ,6671549,$153.99 ,$157.24 ,$153.01 ,,,,,,,,,
3/13/25,$153.61 ,9022758,$152.27 ,$154.43 ,$151.92 ,,,,,,,,,
3/12/25,$152.67 ,9710223,$153.64 ,$154.79 ,$152.22 ,,,,,,,,,
3/11/25,$154.08 ,10466290,$158.43 ,$158.84 ,$153.79 ,,,,,,,,,
3/10/25,$157.57 ,11750300,$157.19 ,$160.37 ,$156.17 ,,,,,,,,,
3/7/25,$156.34 ,8562635,$153.95 ,$157.45 ,$153.71 ,,,,,,,,,
3/6/25,$152.95 ,7314687,$150.51 ,$153.33 ,$149.47 ,,,,,,,,,
3/5/25,$150.81 ,9288538,$150.15 ,$151.37 ,$147.74 ,,,,,,,,,
3/4/25,$152.00 ,8826344,$151.21 ,$154.15 ,$150.05 ,,,,,,,,,
3/3/25,$153.09 ,9059814,$159.46 ,$160.09 ,$151.76 ,,,,,,,,,
2/28/25,$158.62 ,8828547,$156.70 ,$158.67 ,$154.92 ,,,,,,,,,
2/27/25,$156.67 ,7517237,$155.69 ,$158.29 ,$154.81 ,,,,,,,,,
2/26/25,$155.14 ,6005232,$156.62 ,$156.69 ,$154.40 ,,,,,,,,,
2/25/25,$156.42 ,6811293,$157.99 ,$158.99 ,$155.46 ,,,,,,,,,
2/24/25,$157.89 ,5925047,$157.09 ,$158.33 ,$156.75 ,,,,,,,,,
2/21/25,$156.92 ,6689815,$158.13 ,$158.95 ,$156.82 ,,,,,,,,,
2/20/25,$158.79 ,6256154,$157.50 ,$158.95 ,$157.07 ,,,,,,,,,
2/19/25,$157.23 ,4945813,$156.52 ,$158.36 ,$156.00 ,,,,,,,,,
2/18/25,$156.16 ,5981480,$155.34 ,$157.31 ,$154.78 ,,,,,,,,,
2/14/25,$155.34 ,5828805,$155.08 ,$157.45 ,$154.88 ,,,,,,,,,
