Date,Close/Last,Volume,Open,High,Low
04/08/2025,25.79,2092377,27.03,27.12,25.57
04/07/2025,26.83,2552281,26.74,28.08,26.49
04/04/2025,27.60,1262473,27.16,27.77,26.67
04/03/2025,29.14,608563,29.18,29.36,28.93
04/02/2025,31.27,299123,30.875,31.30,30.86
04/01/2025,31.02,436410,31.21,31.34,30.9689
03/31/2025,31.11,394807,30.43,31.24,30.38
03/28/2025,30.18,542976,30.45,30.45,30.12
03/27/2025,30.46,188229,30.35,30.535,30.19
03/26/2025,30.43,216315,30.40,30.585,30.33
03/25/2025,30.17,333087,30.30,30.345,29.925
03/24/2025,30.18,508284,29.90,30.195,29.84
03/21/2025,29.78,380472,29.63,29.845,29.54
03/20/2025,29.77,551220,29.23,29.79,29.15
03/19/2025,29.28,165316,29.13,29.41,29.09
03/18/2025,29.18,439126,29.58,29.63,29.08
03/17/2025,29.34,408310,29.42,29.48,29.21
03/14/2025,29.12,248881,28.96,29.165,28.89
03/13/2025,28.84,472900,29.05,29.16,28.78
03/12/2025,29.30,394862,29.11,29.35,29.00
03/11/2025,28.805,548304,28.94,29.08,28.65
03/10/2025,28.58,395479,29.04,29.09,28.53
03/07/2025,29.02,807139,29.24,29.455,28.92
03/06/2025,28.62,956906,28.62,28.82,28.38
03/05/2025,28.65,906996,28.71,28.73,28.21
03/04/2025,29.33,664283,29.17,29.41,28.79
03/03/2025,29.45,950965,30.22,30.28,29.38
02/28/2025,30.16,316046,29.99,30.225,29.84
02/27/2025,30.26,403968,30.17,30.44,30.08
02/26/2025,29.79,436728,29.82,29.94,29.68
02/25/2025,29.94,231536,30.51,30.51,29.80
02/24/2025,30.64,360116,30.59,30.70,30.51
02/21/2025,30.43,140389,30.97,31.02,30.42
02/20/2025,31.34,147701,31.41,31.61,31.31
02/19/2025,31.22,65226,31.44,31.49,31.14
02/18/2025,31.07,234574,30.95,31.115,30.84
02/14/2025,30.64,165524,30.91,30.97,30.59
02/13/2025,30.82,171362,30.52,30.84,30.495
02/12/2025,30.78,465451,31.10,31.23,30.78
02/11/2025,31.56,134376,31.56,31.60,31.37
02/10/2025,31.17,140766,30.98,31.18,30.88
02/07/2025,30.58,171621,30.70,30.7362,30.47
02/06/2025,30.44,398969,30.75,30.89,30.37
02/05/2025,30.61,397144,30.80,30.94,30.56
02/04/2025,31.13,927668,30.45,31.41,30.4218
02/03/2025,31.06,569357,31.20,31.31,30.7611
