Date,Close/Last,Volume,Open,High,Low
04/08/2025,36.76,23890,38.65,38.65,36.60
04/07/2025,38.37,38020,38.10,39.76,37.8227
04/04/2025,38.96,85203,38.54,39.139,37.83
04/03/2025,40.97,31136,41.01,41.26,40.76
04/02/2025,43.83,39087,43.30,43.84,43.21
04/01/2025,43.47,34097,43.60,43.79,43.47
03/31/2025,43.5799,23067,42.86,43.795,42.72
03/28/2025,42.41,13225,42.94,42.94,42.41
03/27/2025,42.91,6120,42.56,43.035,42.56
03/26/2025,42.8772,6289,42.8513,43.0799,42.78
03/25/2025,42.51,8648,42.78,42.78,42.26
03/24/2025,42.62,12804,42.29,42.62,42.29
03/21/2025,42.13,31338,42.02,42.23,41.89
03/20/2025,42.21,14282,41.41,42.22,41.41
03/19/2025,41.58,12414,41.4781,41.79,41.46
03/18/2025,41.4867,8308,41.99,42.08,41.3712
03/17/2025,41.71,18961,41.76,41.7987,41.55
03/14/2025,41.3766,12876,41.08,41.4077,41.07
03/13/2025,40.97,20141,41.33,41.42,40.97
03/12/2025,41.69,21620,41.31,41.69,41.22
03/11/2025,40.91,9604,41.04,41.20,40.66
03/10/2025,40.66,47130,41.28,41.37,40.57
03/07/2025,41.31,31003,41.55,41.87,41.21
03/06/2025,40.81,35103,40.84,41.099,40.575
03/05/2025,40.9871,49888,40.95,41.00,40.34
03/04/2025,41.82,117049,41.67,42.02,41.19
03/03/2025,41.98,66819,43.03,43.03,41.91
02/28/2025,43.2825,15841,43.03,43.42,42.90
02/27/2025,43.372,13162,43.19,43.53,43.09
02/26/2025,42.71,13697,42.945,42.945,42.5713
02/25/2025,42.99,18273,43.77,43.77,42.6867
02/24/2025,43.97,7906,43.93,44.03,43.79
02/21/2025,43.72,24430,44.49,44.9833,43.72
02/20/2025,45.05,10494,45.11,45.27,44.991
02/19/2025,44.7901,7711,45.02,45.12,44.6983
02/18/2025,44.58,11627,44.20,44.60,44.20
02/14/2025,44.02,13509,44.29,44.405,43.95
02/13/2025,44.18,11620,43.87,44.2499,43.83
02/12/2025,44.20,29748,44.70,44.7501,44.20
02/11/2025,45.23,18727,45.10,45.2893,44.994
02/10/2025,44.64,7451,44.39,44.6699,44.3641
02/07/2025,43.84,18780,43.95,43.9847,43.67
02/06/2025,43.6411,60650,43.89,43.94,43.51
02/05/2025,43.77,70859,44.00,44.00,43.7023
02/04/2025,44.39,44970,43.41,44.70,43.40
02/03/2025,44.25,72394,44.50,44.65,43.98
01/31/2025,44.67,22273,44.65,44.95,44.3001
01/30/2025,44.7162,23954,44.65,44.98,44.64
01/29/2025,44.6357,4328,44.71,44.9608,44.4217
01/28/2025,44.98,11373,45.15,45.15,44.7338
