Date,Close/Last,Volume,Open,High,Low
04/08/2025,24.46,182273,26.79,26.79,24.0214
04/07/2025,25.86,218179,24.75,27.2839,24.6681
04/04/2025,25.94,222974,26.51,26.665,25.00
04/03/2025,27.49,61302,27.76,28.38,27.44
04/02/2025,29.18,81125,28.51,29.474,28.50
04/01/2025,29.18,49958,28.56,29.33,28.29
03/31/2025,28.62,71332,28.16,28.76,27.63
03/28/2025,28.81,68661,29.47,29.47,28.71
03/27/2025,29.69,52495,29.62,30.17,29.50
03/26/2025,29.80,53977,30.49,30.67,29.581
03/25/2025,30.59,39106,30.52,30.667,30.4101
03/24/2025,30.48,78762,30.30,30.79,30.30
03/21/2025,29.81,69819,29.20,29.87,29.11
03/20/2025,29.61,44837,29.61,30.0628,29.54
03/19/2025,29.95,82010,29.59,30.2774,29.59
03/18/2025,29.58,127675,29.53,29.80,29.425
03/17/2025,29.88,89364,29.23,30.0496,29.23
03/14/2025,29.29,111209,29.12,29.35,28.81
03/13/2025,28.75,79355,29.08,29.45,28.4703
03/12/2025,29.21,80022,29.46,29.54,28.9193
03/11/2025,29.04,194945,29.17,29.49,28.495
03/10/2025,29.14,139029,29.52,30.01,28.865
03/07/2025,30.05,74936,29.20,30.15,29.20
03/06/2025,29.39,69240,29.24,29.77,29.1001
03/05/2025,29.93,72869,29.38,29.93,29.065
03/04/2025,29.14,146143,28.47,29.795,28.24
03/03/2025,29.09,109782,30.70,30.7493,28.85
02/28/2025,30.38,93461,30.34,30.525,29.88
02/27/2025,30.50,66234,31.50,31.81,30.46
02/26/2025,31.50,63405,31.60,32.255,31.43
02/25/2025,31.44,117248,32.22,32.33,31.34
02/24/2025,32.28,83971,32.96,32.96,32.17
02/21/2025,33.03,137616,33.97,34.085,32.85
02/20/2025,34.06,116103,34.18,34.34,33.58
02/19/2025,34.17,58156,34.06,34.3884,33.9948
02/18/2025,33.99,88424,33.30,34.0461,33.1901
02/14/2025,33.30,66201,33.17,33.57,33.07
02/13/2025,32.92,85333,32.12,32.94,32.12
02/12/2025,31.86,109185,31.34,32.1119,31.33
02/11/2025,31.75,103979,32.05,32.30,31.68
02/10/2025,32.59,64010,32.88,32.88,32.54
02/07/2025,32.85,104456,33.39,33.58,32.68
02/06/2025,33.47,95921,33.31,33.54,33.02
02/05/2025,33.08,77515,33.32,33.68,33.07
02/04/2025,33.35,116640,32.76,33.45,32.75
02/03/2025,32.70,150744,32.29,33.14,32.21
01/31/2025,33.53,61700,33.61,34.3286,33.34
01/30/2025,33.62,65043,33.51,33.85,33.20
01/29/2025,32.97,88148,33.07,33.40,32.65
01/28/2025,32.73,81293,33.35,33.35,32.31
01/27/2025,33.35,112359,33.61,34.10,32.9901
01/24/2025,34.30,66825,34.39,34.7206,34.27
01/23/2025,34.32,84052,33.62,34.34,33.40
01/22/2025,33.88,125202,34.69,34.84,33.88
01/21/2025,34.84,123182,35.22,35.22,34.4607
01/17/2025,35.23,110296,35.47,35.6222,35.23
01/16/2025,35.12,56172,34.98,35.29,34.762
01/15/2025,34.95,255364,35.12,35.33,34.94
01/14/2025,34.21,44572,34.62,35.15,34.09
01/13/2025,34.21,54133,33.75,34.24,33.33
01/10/2025,34.34,103083,34.53,34.64,33.9792
01/08/2025,35.16,99108,35.88,35.88,34.76
01/07/2025,36.44,89523,36.87,37.65,36.101
01/06/2025,36.65,117424,36.92,37.435,36.60
01/03/2025,36.21,159439,34.66,36.33,34.66
01/02/2025,34.42,134970,34.09,34.90,34.04
12/31/2024,33.93,110821,34.64,35.13,33.92
12/30/2024,34.47,184909,34.47,34.64,33.95
12/27/2024,35.13,101238,35.46,35.72,34.7901
12/26/2024,35.70,101247,35.50,36.00,35.36
12/24/2024,35.75,55399,35.20,35.88,35.15
12/23/2024,35.12,131622,34.72,35.20,34.5853
12/20/2024,34.68,150629,33.61,35.25,33.55
12/19/2024,33.95,316715,34.93,35.07,33.82
12/18/2024,34.43,165957,36.28,36.8399,34.06
12/17/2024,36.40,93449,36.41,36.89,36.08
12/16/2024,36.44,94619,35.92,36.63,35.64
12/13/2024,36.09,78481,35.73,36.09,35.4771
12/12/2024,35.87,107735,35.98,36.2108,35.81
12/11/2024,36.22,109840,36.14,36.3089,35.48
12/10/2024,35.74,96210,36.35,36.35,35.66
12/09/2024,36.41,185850,35.81,37.02,35.81
12/06/2024,35.48,119694,35.20,35.50,35.09
12/05/2024,34.86,88614,35.04,35.4041,34.82
12/04/2024,35.02,215608,35.57,35.74,34.8069
12/03/2024,35.51,68897,35.82,35.835,35.4407
12/02/2024,36.12,146248,35.69,36.2227,35.59
11/29/2024,35.57,107585,35.31,35.70,35.26
11/27/2024,35.14,85730,35.05,35.665,34.86
11/26/2024,34.90,98343,35.52,35.52,34.7922
11/25/2024,35.57,149323,35.08,35.945,34.96
11/22/2024,34.50,93823,33.66,34.63,33.66
11/21/2024,33.64,115600,33.42,34.00,33.25
11/20/2024,33.48,92077,33.10,33.49,33.08
11/19/2024,33.29,254473,33.00,33.5251,32.97
11/18/2024,33.32,98933,32.92,33.619,32.78
11/15/2024,32.71,128214,32.93,33.3751,32.6356
11/14/2024,33.07,158883,33.54,33.645,32.84
11/13/2024,33.56,125134,33.77,34.43,33.3535
11/12/2024,33.38,279753,34.26,34.26,33.1301
11/11/2024,34.77,203600,34.59,34.77,34.24
11/08/2024,34.09,159713,33.82,34.13,33.56
11/07/2024,33.96,353505,34.00,34.30,33.6324
11/06/2024,33.86,345570,34.06,34.105,33.06
11/05/2024,34.85,122437,33.93,34.85,33.90
