Date,Close/Last,Volume,Open,High,Low
04/07/2025,65.98,7869110,65.64,69.20,64.94
04/04/2025,67.92,9319874,66.90,68.42,65.50
04/03/2025,72.25,6279831,72.16,72.6992,71.435
04/02/2025,77.74,2808379,76.72,77.86,76.69
04/01/2025,77.08,2753906,77.60,78.01,76.875
03/31/2025,77.33,3147376,75.52,77.72,75.2819
03/28/2025,74.77,2430345,75.52,75.54,74.54
03/27/2025,75.48,1590767,75.26,75.68,74.78
03/26/2025,75.42,2473383,75.34,75.935,75.13
03/25/2025,74.82,1922932,75.23,75.36,74.12
03/24/2025,74.88,2755331,74.13,74.975,73.94
03/21/2025,73.79,1529052,73.39,73.96,73.135
03/20/2025,73.73,2523115,72.23,73.80,72.04
03/19/2025,72.42,1747436,72.08,72.88,71.93
03/18/2025,72.21,2738996,73.39,73.49,71.97
03/17/2025,72.71,2873691,72.98,73.17,72.43
03/14/2025,72.28,2054592,71.89,72.43,71.65
03/13/2025,71.62,3119090,72.08,72.4425,71.41
03/12/2025,72.80,2389060,72.32,72.97,72.04
03/11/2025,71.45,1876154,71.80,72.1701,70.98
03/10/2025,70.89,1777110,72.06,72.245,70.74
03/07/2025,72.09,4195690,72.74,73.31,71.77
03/06/2025,71.13,3038746,71.37,72.02,70.4901
03/05/2025,71.42,3811020,71.40,71.49,70.09
03/04/2025,73.31,2030596,72.75,73.615,71.71
03/03/2025,73.32,3996346,75.33,75.56,72.925
02/28/2025,75.22,2351666,74.58,75.47,74.25
02/27/2025,75.28,2641905,75.02,75.79,74.69
02/26/2025,73.85,3229404,73.91,74.27,73.41
02/25/2025,74.13,2386629,75.60,75.61,73.74
02/24/2025,75.97,2930818,75.71,76.14,75.45
02/21/2025,75.35,2749138,76.70,76.85,75.34
02/20/2025,77.76,1626997,77.92,78.47,77.62
02/19/2025,77.45,1554217,78.06,78.20,77.23
02/18/2025,76.96,2324908,76.69,77.1087,76.35
02/14/2025,75.82,2425986,76.58,76.74,75.63
02/13/2025,76.39,1897061,75.68,76.47,75.58
02/12/2025,76.32,4918694,77.15,77.46,76.29
02/11/2025,78.27,2284120,78.37,78.49,77.87
02/10/2025,77.40,2814470,76.94,77.505,76.61
02/07/2025,75.86,2013935,76.22,76.29,75.46
02/06/2025,75.45,2168359,76.36,76.73,75.27
02/05/2025,76.09,1985220,76.57,77.00,75.835
02/04/2025,77.51,6136891,75.70,78.30,75.60
02/03/2025,77.82,4200160,78.42,78.77,76.94
01/31/2025,78.02,3539779,77.60,78.26,76.76
01/30/2025,77.75,2238596,77.77,78.77,77.46
01/29/2025,77.78,1670498,78.02,78.65,77.18
01/28/2025,78.86,1592341,78.87,78.95,77.81
01/27/2025,77.93,1954750,79.28,79.54,77.23
01/24/2025,79.60,1922767,80.07,80.22,79.015
01/23/2025,79.21,3803237,80.56,81.04,79.16
01/22/2025,80.43,2797975,80.72,81.21,80.32
01/21/2025,81.11,2410865,80.62,81.34,80.45
01/17/2025,82.52,2297613,82.52,83.00,82.23
01/16/2025,82.94,3607127,83.49,83.60,81.99
01/15/2025,84.34,4891949,82.28,84.58,82.28
01/14/2025,81.67,4679763,81.90,82.08,81.2105
01/13/2025,82.23,5060511,81.51,82.82,81.37
01/10/2025,80.64,5048677,81.54,81.815,79.37
01/08/2025,77.30,3259106,78.35,78.46,77.06
01/07/2025,78.17,3912444,78.13,78.44,77.70
01/06/2025,77.30,2141772,78.43,78.90,77.06
01/03/2025,77.92,1877695,77.41,78.215,77.26
01/02/2025,76.93,3271771,76.84,77.56,76.84
12/31/2024,75.55,1273741,75.24,75.75,74.975
12/30/2024,74.82,1621041,74.86,75.27,74.455
12/27/2024,73.85,1461964,74.10,74.40,73.69
12/26/2024,73.13,1811084,74.26,74.38,72.90
12/24/2024,73.65,1011796,73.70,74.025,73.45
12/23/2024,73.06,1894517,72.91,73.07,72.10
12/20/2024,73.10,1599767,72.27,73.41,71.958
12/19/2024,72.61,2099508,73.93,74.11,72.61
12/18/2024,72.94,2338081,73.67,74.38,72.915
12/17/2024,73.30,2140061,72.96,73.35,72.31
12/16/2024,73.70,1948208,74.15,74.30,73.61
12/13/2024,74.21,2713366,73.62,74.50,73.545
12/12/2024,73.21,2830056,72.90,73.58,72.19
12/11/2024,73.33,3061916,72.58,73.59,72.15
12/10/2024,71.40,2476325,71.54,72.13,71.32
12/09/2024,71.17,2061720,71.23,71.97,71.155
12/06/2024,70.24,3083839,70.62,70.71,69.99
12/05/2024,71.47,1525152,71.95,72.17,71.22
12/04/2024,71.88,2784128,73.41,73.45,71.52
12/03/2024,73.04,3199133,72.16,73.32,71.80
12/02/2024,71.04,3553891,71.87,71.95,70.70
11/29/2024,71.61,1757580,72.32,72.74,71.51
11/27/2024,71.72,1575912,71.63,72.30,71.16
11/26/2024,71.61,2882244,72.52,73.34,71.01
11/25/2024,72.10,3299046,72.94,73.44,71.73
11/22/2024,74.25,2573797,73.10,74.58,72.9401
11/21/2024,73.20,1848051,73.13,73.26,72.39
11/20/2024,72.02,1362418,72.84,72.84,71.60
11/19/2024,72.31,3959359,72.40,72.71,71.40
11/18/2024,72.07,3116167,70.93,72.31,70.90
11/15/2024,69.75,3629407,70.87,71.35,69.56
11/14/2024,71.29,2088942,72.06,72.09,70.82
11/13/2024,70.73,3449062,70.33,71.50,69.60
11/12/2024,70.69,1905517,71.78,71.85,70.50
11/11/2024,70.94,3272080,71.21,71.45,70.64
11/08/2024,73.13,2984658,73.84,73.94,72.66
