Date,Close/Last,Volume,Open,High,Low
04/08/2025,76.44,45269240,80.66,81.075,75.22
04/07/2025,78.25,56953360,76.21,81.58,74.98
04/04/2025,78.76,50375960,83.65,84.59,78.76
04/03/2025,86.74,37828920,89.65,90.34,86.71
04/02/2025,94.13,16980300,93.20,94.21,92.98
04/01/2025,94.00,13560610,93.50,94.085,92.49
03/31/2025,93.45,14406870,92.23,94.00,92.10
03/28/2025,92.43,11124370,92.82,93.17,91.965
03/27/2025,92.87,9573864,93.50,93.85,92.4976
03/26/2025,93.78,12785830,94.10,94.82,93.545
03/25/2025,93.23,11146000,93.26,94.04,92.95
03/24/2025,92.85,11912260,92.22,93.395,92.07
03/21/2025,92.52,18487770,92.86,93.08,91.935
03/20/2025,93.17,16581800,92.32,93.48,91.93
03/19/2025,92.83,15871300,91.46,93.24,91.44
03/18/2025,91.34,15403260,91.70,91.905,90.62
03/17/2025,91.19,14880790,89.69,91.61,89.69
03/14/2025,89.76,16011570,87.66,89.88,87.26
03/13/2025,87.18,15371020,87.47,88.73,86.65
03/12/2025,87.78,16120240,87.44,88.585,87.105
03/11/2025,87.38,15115100,88.44,88.82,86.91
03/10/2025,88.08,20022670,87.905,89.29,87.26
03/07/2025,87.43,22424570,86.35,88.0594,86.35
03/06/2025,85.96,23552150,85.29,86.485,84.62
03/05/2025,85.70,28255410,85.71,86.145,84.025
03/04/2025,86.97,25338520,86.53,88.38,85.43
03/03/2025,87.82,24750880,91.35,91.8725,87.01
02/28/2025,91.00,13313550,89.32,91.07,88.76
02/27/2025,89.61,15024000,89.75,90.705,88.98
02/26/2025,89.13,12152850,89.75,89.985,88.715
02/25/2025,89.64,13304340,90.93,91.35,88.905
02/24/2025,90.95,13147630,91.09,91.4381,90.465
02/21/2025,90.93,15638300,92.30,92.55,90.875
02/20/2025,92.86,14166150,91.83,93.015,91.44
02/19/2025,92.02,12265620,91.68,92.88,91.625
02/18/2025,91.30,14787380,90.50,91.90,89.98
02/14/2025,90.07,12943250,90.05,91.325,90.05
02/13/2025,89.71,15775460,88.90,89.91,88.32
02/12/2025,89.04,19399390,90.49,91.11,88.875
02/11/2025,91.24,13113410,90.94,91.85,90.36
02/10/2025,90.51,12935680,89.35,90.66,89.35
02/07/2025,88.56,11284210,88.90,89.365,88.44
02/06/2025,88.57,20654810,90.64,90.86,88.09
02/05/2025,90.23,10886000,90.01,90.355,89.505
02/04/2025,90.04,20139910,87.78,90.23,87.63
