Date,Open,High,Low,Close ,Adj Close ,Volume
10-Apr-25,10.53,10.66,9.88,9.99,9.99,"19,831,289"
9-Apr-25,9.13,11.23,9.09,11.12,11.12,"133,753,900"
8-Apr-25,10.05,10.07,8.92,9.07,9.07,"81,034,700"
7-Apr-25,9.01,10.22,9,9.71,9.71,"74,435,400"
4-Apr-25,9.22,9.58,8.5,9.46,9.46,"110,348,000"
3-Apr-25,9.98,9.98,9.5,9.51,9.51,"77,097,900"
2-Apr-25,10.11,10.64,10.1,10.59,10.59,"64,334,500"
1-Apr-25,10.3,10.36,9.92,10.3,10.3,"74,551,400"
31-Mar-25,10.41,10.68,10.06,10.55,10.55,"66,955,100"
28-Mar-25,11.06,11.15,10.65,10.7,10.7,"59,697,700"
27-Mar-25,11.32,11.35,11.09,11.14,11.14,"53,377,900"
26-Mar-25,11.55,11.55,11.3,11.44,11.44,"46,162,100"
25-Mar-25,11.95,12.07,11.46,11.51,11.51,"57,417,100"
24-Mar-25,11.56,11.9,11.54,11.83,11.83,"44,590,200"
21-Mar-25,11.07,11.41,10.97,11.39,11.39,"46,970,100"
20-Mar-25,11.36,11.44,11.21,11.26,11.26,"43,297,000"
19-Mar-25,11.13,11.58,11.1,11.48,11.48,"67,120,000"
18-Mar-25,11.17,11.32,11.01,11.07,11.07,"46,895,700"
17-Mar-25,10.88,11.47,10.83,11.32,11.32,"64,374,500"
14-Mar-25,10.87,10.89,10.55,10.87,10.87,"66,506,400"
13-Mar-25,10.99,11.09,10.47,10.67,10.67,"95,901,500"
12-Mar-25,11.55,11.61,10.89,10.93,10.93,"98,487,000"
11-Mar-25,12.5,12.54,11.43,11.46,11.46,"109,911,400"
10-Mar-25,12.72,12.75,12.11,12.5,12.5,"83,400,700"
7-Mar-25,13.13,13.18,12.58,13.03,13.03,"76,618,800"
6-Mar-25,13.82,13.93,13.2,13.25,13.25,"58,157,500"
5-Mar-25,13.51,14.23,13.49,14.09,14.09,"56,987,400"
4-Mar-25,13.52,13.65,13.02,13.35,13.35,"71,114,400"
3-Mar-25,14.36,14.56,13.77,13.87,13.87,"55,452,000"
28-Feb-25,14.57,14.75,14.27,14.35,14.35,"49,731,000"
27-Feb-25,15.12,15.15,14.21,14.53,14.53,"56,503,100"
26-Feb-25,15.47,15.66,15.17,15.18,15.18,"43,181,100"
25-Feb-25,15.37,15.37,14.8,15.13,15.13,"48,363,100"
24-Feb-25,15.38,15.52,15.21,15.31,15.31,"42,730,700"
21-Feb-25,15.93,16.07,15.09,15.23,15.23,"55,698,700"
20-Feb-25,15.96,16.1,15.57,15.86,15.86,"32,618,400"
19-Feb-25,16,16.15,15.8,16,16,"24,543,500"
18-Feb-25,15.88,16.32,15.85,16.08,16.08,"28,428,700"
14-Feb-25,15.84,15.98,15.64,15.97,15.97,"29,250,900"
13-Feb-25,16.36,16.5,15.48,15.74,15.74,"41,583,700"
