Date,Open,High,Low,Close,Adj Close ,Volume
10-Apr-25,88.5,88.65,83.6,84.04,84.04,"1,520,172"
9-Apr-25,81.11,92.47,79.88,91.51,91.51,"17,839,000"
8-Apr-25,87.15,88.28,81.27,82.66,82.66,"11,509,800"
7-Apr-25,84.01,89.42,81.72,85.67,85.67,"12,870,200"
4-Apr-25,92.1,92.65,85.55,86.29,86.29,"15,158,400"
3-Apr-25,100.33,101.44,95.12,95.25,95.25,"13,870,900"
2-Apr-25,104.4,106.2,104.24,106.1,106.1,"6,527,500"
1-Apr-25,104.91,105.71,104.02,105.39,105.39,"6,809,500"
31-Mar-25,102.22,105.46,102.01,105.02,105.02,"7,905,800"
28-Mar-25,102.44,103.26,101.61,102.37,102.37,"3,745,400"
27-Mar-25,102.9,103.84,102.23,102.82,102.82,"4,712,000"
26-Mar-25,103.65,104.87,102.61,103.2,103.2,"7,168,400"
25-Mar-25,102.58,103.35,101.42,102.55,102.55,"6,556,500"
24-Mar-25,102.03,102.93,101.57,102.19,102.19,"6,768,300"
21-Mar-25,102.41,102.96,101.34,101.92,101.92,"55,090,400"
20-Mar-25,101.15,102.63,100.84,102.31,102.31,"11,577,800"
19-Mar-25,100.5,102.66,100.27,101.33,101.33,"8,784,600"
18-Mar-25,100.46,100.93,98.73,100.53,100.53,"7,861,500"
17-Mar-25,99.25,100.52,99.02,99.36,99.36,"8,031,100"
14-Mar-25,96.94,99.64,96.22,98.95,98.95,"7,625,800"
13-Mar-25,97,99.37,96.14,96.19,96.19,"11,354,700"
12-Mar-25,95.18,97.79,95.01,97.75,97.75,"10,147,300"
11-Mar-25,92.9,96.14,92.9,95.41,95.41,"14,544,100"
10-Mar-25,91.45,94.03,90.65,92.9,92.9,"12,086,700"
7-Mar-25,89.39,91.07,89.39,90.63,90.63,"8,603,700"
6-Mar-25,88.8,89.64,87.92,88.6,88.6,"8,679,000"
5-Mar-25,88.83,89.4,86.81,88.88,88.88,"12,081,100"
4-Mar-25,91.06,92.11,88.47,90.64,90.64,"14,000,500"
3-Mar-25,99.75,99.76,91.56,92.63,92.63,"12,640,200"
28-Feb-25,97.13,99.19,96.09,99.15,99.15,"9,002,600"
27-Feb-25,97.2,98.99,96.31,97.37,97.37,"6,306,300"
26-Feb-25,97.3,97.4,95.23,96.13,96.13,"6,292,400"
25-Feb-25,99.28,99.76,96.88,97.08,97.08,"5,822,000"
24-Feb-25,98.06,99.35,97.89,98.82,98.82,"6,277,700"
21-Feb-25,101.05,101.57,97.79,97.94,97.94,"8,562,200"
20-Feb-25,99.75,102.09,99.2,102,102,"6,309,200"
19-Feb-25,98.35,100.29,98.16,99.57,99.57,"7,515,100"
18-Feb-25,96.24,97.63,95.29,97.45,97.45,"11,777,700"
14-Feb-25,96.91,98.46,96.24,96.26,96.26,"7,960,800"
13-Feb-25,97.82,98.01,96.41,96.9,96.12,"9,329,100"
12-Feb-25,101,101.71,98.33,98.4,97.61,"7,585,800"
11-Feb-25,99.53,102.61,99.2,101.71,100.89,"8,063,700"
10-Feb-25,99.61,99.61,97.82,99.48,98.68,"10,338,500"
7-Feb-25,100.06,100.45,98.27,98.36,97.57,"12,121,700"
6-Feb-25,98.89,101.1,98.6,99.94,99.14,"8,543,400"
5-Feb-25,100.53,100.88,99.4,100.21,99.4,"6,961,100"
4-Feb-25,97.7,100.8,97.53,100.58,99.77,"5,310,900"
3-Feb-25,98.75,98.94,97.04,98.48,97.69,"5,948,600"
31-Jan-25,101.33,101.34,98.56,98.83,98.03,"6,267,100"
30-Jan-25,102,102.27,100.94,101.46,100.64,"4,046,900"
29-Jan-25,101.15,101.9,100.35,101.56,100.74,"4,130,600"
28-Jan-25,102.89,103.33,100.74,101.38,100.56,"4,742,100"
27-Jan-25,102.46,103.71,101.4,102.69,101.86,"6,831,000"
24-Jan-25,104.51,104.75,101.73,101.83,101.01,"5,962,100"
23-Jan-25,104.11,105.48,103.63,103.99,103.15,"5,734,200"
22-Jan-25,104.28,104.99,102.92,103.06,102.23,"4,839,100"
21-Jan-25,105,105.73,104.04,104.28,103.44,"7,144,700"
17-Jan-25,105.8,106.15,105.17,105.85,105,"8,559,300"
16-Jan-25,105.19,106.17,105.09,105.61,104.76,"5,273,500"
15-Jan-25,105.02,105.87,104.44,105.48,104.63,"4,566,900"
14-Jan-25,103.38,104.95,103.15,104.88,104.04,"4,808,100"
13-Jan-25,102.02,105.1,102.02,104.23,103.39,"7,342,100"
10-Jan-25,103.5,104.44,101.19,101.92,101.1,"7,013,200"
8-Jan-25,101,102.45,100.75,101.62,100.8,"5,119,900"
7-Jan-25,100.5,102.49,99.91,101.67,100.85,"5,074,700"
6-Jan-25,101.55,102.15,99.64,99.99,99.19,"5,935,500"
3-Jan-25,100.62,101.4,100.29,101.09,100.28,"5,758,200"
2-Jan-25,100,101.28,99.52,100.08,99.27,"5,080,600"
31-Dec-24,97.3,99.3,97.1,99.17,98.37,"5,556,400"
30-Dec-24,97.25,97.6,96.14,97.09,96.31,"5,238,800"
27-Dec-24,97,97.98,96.47,96.92,96.14,"5,889,700"
26-Dec-24,97.13,97.15,96.24,96.89,96.11,"4,325,600"
24-Dec-24,96.5,97.19,95.85,97.11,96.33,"2,677,400"
23-Dec-24,95.43,96.88,94.58,96.38,95.6,"7,892,300"
20-Dec-24,94.76,96.38,94.23,95.12,94.35,"29,542,200"
19-Dec-24,96.99,96.99,95.1,95.18,94.41,"9,951,200"
18-Dec-24,98,98.51,95.75,95.85,95.08,"8,466,500"
17-Dec-24,98.77,99.26,96.75,98.26,97.47,"8,737,800"
16-Dec-24,101.13,101.49,99.43,99.57,98.77,"7,441,800"
13-Dec-24,101.05,102.26,100.58,101.02,100.21,"6,887,800"
12-Dec-24,102.38,102.62,100.87,100.91,100.1,"5,908,600"
11-Dec-24,102.36,102.72,101.69,102.19,101.37,"8,195,500"
10-Dec-24,103.63,104.14,102.1,102.36,101.54,"5,860,800"
9-Dec-24,104.22,105.05,102.88,103.16,102.33,"6,526,500"
6-Dec-24,104.45,104.59,102.4,103.22,102.39,"5,365,600"
5-Dec-24,105.08,105.87,104.01,104.44,103.6,"7,074,700"
4-Dec-24,105.94,106.11,102.83,103.51,102.68,"7,291,000"
3-Dec-24,107.03,107.67,105.71,106.05,105.2,"5,862,600"
2-Dec-24,108.34,108.74,105.54,106.14,105.29,"5,939,700"
29-Nov-24,107.75,108.52,107.36,108.34,107.47,"3,918,700"
27-Nov-24,107.36,108.99,107.11,107.39,106.53,"6,237,600"
26-Nov-24,106.62,107.35,104.9,106.78,105.92,"12,073,700"
25-Nov-24,111.9,111.96,105.54,106.1,105.25,"23,447,400"
22-Nov-24,112.17,112.73,111.13,111.75,110.85,"7,516,200"
21-Nov-24,114.27,115.38,111.5,111.9,111,"12,535,500"
20-Nov-24,112.9,113.99,112.64,113.43,112.52,"4,092,700"
19-Nov-24,112.62,114.14,112.25,113.09,112.18,"5,100,000"
18-Nov-24,113.39,114.46,112.75,113.76,112.84,"5,089,000"
15-Nov-24,112.68,114.07,111.88,112.32,111.42,"4,124,000"
14-Nov-24,112.59,113.02,111.35,112.92,112.01,"4,389,900"
13-Nov-24,110.42,112.46,109.5,111.82,110.92,"5,961,600"
12-Nov-24,112.46,112.83,110.47,110.64,109.75,"5,175,700"
11-Nov-24,111.52,112.75,110.95,112.05,111.15,"3,820,200"
8-Nov-24,111.1,112,110.56,111.59,110.69,"5,314,000"
7-Nov-24,113.91,113.99,111.86,112.4,110.72,"5,442,000"
6-Nov-24,112,114.87,111.39,113.63,111.93,"7,733,600"
5-Nov-24,109.19,110.02,108.58,109.21,107.58,"6,003,100"
4-Nov-24,109,110.07,108.72,108.86,107.23,"5,441,700"
1-Nov-24,109.51,110.01,106.68,107.84,106.23,"7,428,000"
31-Oct-24,106.97,110.65,106,109.54,107.9,"11,969,400"
30-Oct-24,102.86,103.43,102.37,102.98,101.44,"6,413,100"
29-Oct-24,102.96,103.76,102.16,102.32,100.79,"3,809,400"
28-Oct-24,101.8,103.35,101.5,103.26,101.72,"4,438,900"
25-Oct-24,105.06,105.43,104.25,104.56,103,"3,823,100"
24-Oct-24,105,105.17,103.45,104.37,102.81,"3,504,600"
23-Oct-24,104.59,105.06,103.66,104.51,102.95,"4,541,300"
22-Oct-24,105.78,105.81,104.76,105,103.43,"4,710,800"
21-Oct-24,106.65,106.84,104.69,104.99,103.42,"4,387,000"
18-Oct-24,105.93,106.14,104.7,105.67,104.09,"4,326,600"
17-Oct-24,105.32,106.24,104.94,106.15,104.56,"5,093,400"
16-Oct-24,105.64,106,105.04,105.16,103.59,"4,602,900"
15-Oct-24,106,107.13,105.12,105.21,103.64,"6,395,700"
14-Oct-24,109.7,110.43,108.9,109.47,107.84,"5,174,000"
11-Oct-24,110.75,111.7,110.27,110.49,108.84,"6,820,300"
10-Oct-24,111.64,112.83,110.76,111.86,110.19,"3,946,400"
9-Oct-24,109.91,111.52,109.55,110.97,109.31,"4,217,200"
8-Oct-24,112.74,112.92,110.16,110.8,109.15,"5,579,800"
7-Oct-24,114.94,116.08,114.44,114.72,113.01,"4,899,800"
4-Oct-24,113.57,114.63,112.05,114.54,112.83,"7,585,100"
3-Oct-24,110.7,112.51,109.99,112.42,110.74,"7,397,400"
2-Oct-24,111.28,111.64,108.59,110.36,108.71,"7,559,900"
1-Oct-24,104.54,109.68,104.1,109.37,107.74,"8,067,600"
30-Sep-24,104.4,105.58,103.87,105.28,103.71,"6,584,000"
27-Sep-24,102.63,104.84,102.6,104.72,103.16,"5,489,500"
26-Sep-24,103,104.22,102.17,102.31,100.78,"9,524,000"
25-Sep-24,108.5,108.82,105.69,105.73,104.15,"6,561,400"
24-Sep-24,111.34,111.47,108.78,108.91,107.28,"7,787,400"
23-Sep-24,110.1,110.94,107.49,109.69,108.05,"8,197,600"
20-Sep-24,111.16,111.74,109.73,109.87,108.23,"33,515,100"
19-Sep-24,110.5,111.35,109.37,110.55,108.9,"7,990,700"
18-Sep-24,107.52,109.93,107.51,108.62,107,"7,424,100"
17-Sep-24,105.51,108.5,105.3,108.29,106.67,"8,661,300"
16-Sep-24,104.96,105.69,104.45,105.55,103.97,"9,325,300"
13-Sep-24,103.32,104.37,103.05,103.5,101.95,"5,441,600"
12-Sep-24,102.72,103.68,102.15,102.9,101.36,"6,775,900"
11-Sep-24,103.8,104.04,101.3,102.57,101.04,"6,803,100"
10-Sep-24,105.55,105.74,103.24,104,102.45,"5,611,500"
9-Sep-24,106.05,106.67,105.54,105.6,104.02,"6,477,000"
6-Sep-24,107.73,108.62,105.72,106.02,104.44,"5,229,900"
5-Sep-24,109.22,109.39,107.29,107.45,105.85,"5,582,400"
4-Sep-24,110.33,111.19,108.44,108.56,106.94,"6,251,500"
3-Sep-24,111.9,111.91,109.21,109.85,108.21,"6,369,900"
30-Aug-24,113.12,114.04,112.41,113.79,112.09,"5,559,500"
29-Aug-24,112.98,115.14,112.07,114.37,112.66,"5,270,200"
28-Aug-24,112.04,112.2,110.64,112.15,110.48,"4,506,400"
27-Aug-24,113.66,113.66,112.06,112.43,110.75,"3,521,700"
26-Aug-24,113.02,115.03,112.94,113.56,111.86,"6,253,900"
23-Aug-24,110.83,111.49,110.27,111.4,109.74,"4,024,200"
22-Aug-24,109.6,110.52,109.41,109.97,108.33,"3,644,500"
21-Aug-24,110.81,111.19,108.9,109.62,107.98,"4,011,900"
20-Aug-24,111.57,111.81,108.85,109.85,108.21,"6,783,300"
19-Aug-24,111.22,112.75,111.12,111.74,110.07,"4,335,600"
16-Aug-24,110.32,111.38,109.86,111.18,109.52,"3,819,100"
15-Aug-24,109.68,111.37,109.68,111.23,109.57,"6,307,000"
14-Aug-24,108.51,109.84,108.23,109.33,107.7,"6,388,000"
13-Aug-24,108.99,109.38,107.86,108.34,106.72,"5,866,800"
12-Aug-24,108.45,110.23,108.28,110.03,108.39,"5,906,900"
9-Aug-24,108.27,109.1,107.09,108.61,106.22,"5,776,200"
8-Aug-24,107.24,108.64,106.92,108.27,105.89,"5,392,900"
7-Aug-24,107.25,108.44,106.44,106.93,104.58,"7,735,400"
6-Aug-24,104.57,106.45,104.11,105.8,103.47,"8,424,900"
5-Aug-24,104,105.31,102.27,104.57,102.27,"8,475,000"
2-Aug-24,107.72,108.08,103.98,105.77,103.44,"7,445,100"
1-Aug-24,112.45,112.68,107.92,108.39,106,"9,704,600"
31-Jul-24,111.61,112.4,111.1,111.2,108.75,"7,554,600"
30-Jul-24,109.17,110.27,108.94,109.91,107.49,"9,794,200"
29-Jul-24,111.24,111.29,108.38,109.12,106.72,"4,629,500"
26-Jul-24,111.15,111.54,109.93,110.86,108.42,"5,198,800"
25-Jul-24,111,112.04,110.45,111.03,108.59,"5,492,100"
24-Jul-24,111.72,112.42,110.51,111.1,108.65,"4,808,000"
23-Jul-24,111.85,112.05,110.07,110.83,108.39,"5,714,300"
22-Jul-24,113.6,113.67,112.1,112.32,109.85,"5,172,800"
19-Jul-24,117.16,117.32,114.23,114.35,111.83,"7,559,100"
18-Jul-24,116.3,118.4,115.35,116.61,114.04,"5,957,100"
