Date,Open,High,Low,Close ,Adj Close ,Volume
10-Apr-25,42.22,42.82,40.2,40.5,40.5,"4,129,005"
9-Apr-25,36.91,44.99,36.56,44.27,44.27,"41,413,500"
8-Apr-25,38.87,39.26,35.46,35.88,35.88,"24,697,300"
7-Apr-25,35.68,39.94,35.13,37.29,37.29,"20,498,800"
4-Apr-25,37.28,37.8,34.74,37.25,37.25,"22,165,500"
3-Apr-25,40.57,40.68,38.65,38.71,38.71,"18,127,900"
2-Apr-25,41.44,43.56,41.39,43.37,43.37,"10,066,500"
1-Apr-25,42.33,42.57,40.85,42.42,42.42,"13,980,800"
31-Mar-25,42,44.01,40.78,43.6,43.6,"18,053,300"
28-Mar-25,46,46.02,43.6,43.84,43.84,"15,135,100"
27-Mar-25,47.52,48,45.98,46.15,46.15,"11,157,800"
26-Mar-25,48.9,49.28,47.51,48.07,48.07,"6,853,200"
25-Mar-25,49.6,49.99,48.41,48.67,48.67,"8,227,000"
24-Mar-25,47.75,49.37,47.7,48.88,48.88,"9,852,900"
21-Mar-25,46,46.96,45.36,46.77,46.77,"17,062,800"
20-Mar-25,46.72,47.44,46.58,46.95,46.95,"6,816,800"
19-Mar-25,46.01,47.97,46,47.75,47.75,"11,359,500"
18-Mar-25,46.04,46.44,44.94,45.92,45.92,"13,907,000"
17-Mar-25,45.8,47.04,45.7,46.89,46.89,"12,570,500"
14-Mar-25,44.78,46.76,44.18,46.75,46.75,"16,680,800"
13-Mar-25,45.35,46.12,42.84,43.92,43.92,"16,240,600"
12-Mar-25,46.94,47.4,44.13,45.3,45.3,"16,767,700"
11-Mar-25,48.42,49.28,45.83,46.68,46.68,"31,482,500"
10-Mar-25,51.63,51.63,48.4,50.33,50.33,"20,260,900"
7-Mar-25,54.01,54.34,51.13,53.28,53.28,"15,670,600"
6-Mar-25,55.74,56.94,54.55,54.96,54.96,"10,669,300"
5-Mar-25,55.07,57.1,54.59,56.77,56.77,"8,741,500"
4-Mar-25,56.66,56.88,53.83,54.69,54.69,"17,873,700"
3-Mar-25,60.11,60.63,57.63,58.45,58.45,"7,966,100"
28-Feb-25,59.8,60.59,59.05,60.12,60.12,"8,627,800"
27-Feb-25,61.86,62.11,59.43,59.75,59.75,"7,326,200"
26-Feb-25,62.2,63.44,61.63,61.7,61.55,"5,474,300"
25-Feb-25,61.55,62.22,59.82,61.79,61.64,"9,713,100"
24-Feb-25,61.33,62.29,60.24,61.49,61.34,"11,226,700"
21-Feb-25,63.95,64.31,59.62,60,59.85,"12,798,800"
20-Feb-25,65.1,65.49,62.51,63.75,63.6,"8,671,600"
19-Feb-25,63.95,65.9,63.82,65.04,64.88,"7,614,200"
18-Feb-25,64.78,66.13,64.02,64.34,64.18,"6,876,200"
14-Feb-25,64.35,65.53,63.9,65.39,65.23,"6,049,800"
13-Feb-25,66.48,66.82,61.21,64.06,63.9,"12,609,600"
12-Feb-25,64.94,66.42,64.61,66.33,66.17,"7,642,300"
11-Feb-25,65.66,65.9,64.08,64.75,64.59,"7,899,000"
10-Feb-25,67.85,67.91,65.84,66.19,66.03,"6,825,700"
7-Feb-25,68.19,68.75,67.47,68.14,67.97,"5,313,900"
6-Feb-25,69.15,69.36,67.26,67.92,67.75,"6,000,400"
5-Feb-25,68.7,69.45,68.02,69.06,68.89,"5,467,300"
4-Feb-25,67.3,69.12,66.54,69.06,68.89,"7,789,200"
3-Feb-25,65.14,67.05,64.97,66.48,66.32,"5,711,800"
31-Jan-25,68.81,69.22,67.2,67.27,67.11,"4,491,300"
30-Jan-25,68,69.1,67.8,68.57,68.4,"6,381,000"
29-Jan-25,68.31,68.53,67.58,68.43,68.26,"4,841,300"
28-Jan-25,67.63,67.72,66.27,67.65,67.49,"5,175,900"
27-Jan-25,66.33,68.28,66.05,67.77,67.61,"4,157,600"
24-Jan-25,67.38,67.95,66.69,67.18,67.02,"5,186,700"
23-Jan-25,68.19,68.66,67.19,67.45,67.29,"8,116,300"
22-Jan-25,69.77,69.98,67.2,67.78,67.62,"11,612,600"
21-Jan-25,66.76,68.51,66.76,68.34,68.17,"11,875,200"
17-Jan-25,66.7,67,65.64,65.82,65.66,"5,978,000"
16-Jan-25,65.44,66.43,64.84,66.18,66.02,"6,427,000"
15-Jan-25,67.13,67.28,65.11,65.5,65.34,"8,808,600"
14-Jan-25,66.5,66.72,65.35,66.29,66.13,"6,989,800"
13-Jan-25,66.31,66.41,63.33,65.1,64.94,"12,375,500"
10-Jan-25,64.99,68.99,64.51,66.95,66.79,"27,227,200"
8-Jan-25,60.95,61.86,59.89,61.42,61.27,"9,062,400"
7-Jan-25,60.3,61.58,59.95,61.18,61.03,"9,074,200"
6-Jan-25,60.3,60.95,59.61,60.04,59.89,"9,652,900"
