Date,Open,High,Low,Close ,Adj Close ,Volume
10-Apr-25,3.38,3.44,3.27,3.285,3.285,"13,173,954"
9-Apr-25,3.09,3.36,3.04,3.31,3.31,"78,276,600"
8-Apr-25,3.39,3.41,3.02,3.14,3.14,"78,198,000"
7-Apr-25,3.2,3.55,3.18,3.36,3.36,"73,974,800"
4-Apr-25,3.5,3.57,3.2,3.46,3.46,"77,685,600"
3-Apr-25,3.64,3.78,3.63,3.74,3.74,"36,666,500"
2-Apr-25,3.81,3.84,3.75,3.8,3.8,"46,021,100"
1-Apr-25,3.87,4,3.82,3.87,3.87,"43,177,400"
31-Mar-25,3.67,3.85,3.57,3.81,3.81,"64,817,600"
28-Mar-25,3.9,3.93,3.73,3.75,3.75,"78,965,100"
27-Mar-25,3.9,4.03,3.88,3.98,3.98,"156,708,300"
26-Mar-25,4.37,4.42,4.18,4.22,4.22,"62,695,600"
25-Mar-25,4.33,4.48,4.3,4.39,4.39,"38,082,100"
24-Mar-25,4.4,4.48,4.34,4.38,4.38,"59,178,000"
21-Mar-25,4.48,4.62,4.36,4.5,4.5,"82,883,000"
20-Mar-25,4.98,4.98,4.7,4.71,4.71,"79,242,700"
19-Mar-25,5.2,5.25,5.1,5.17,5.17,"38,703,300"
18-Mar-25,5.28,5.33,5.06,5.19,5.19,"79,321,100"
17-Mar-25,4.9,5.06,4.86,5.03,5.03,"38,063,500"
14-Mar-25,4.86,5.06,4.83,4.9,4.9,"53,620,000"
13-Mar-25,5,5.01,4.65,4.73,4.73,"64,247,000"
12-Mar-25,5.06,5.49,5.04,5.1,5.1,"87,317,700"
11-Mar-25,4.75,5.33,4.72,5.22,5.22,"162,169,100"
10-Mar-25,4.39,4.68,4.39,4.46,4.46,"66,742,300"
7-Mar-25,4.27,4.49,4.25,4.47,4.47,"45,986,500"
6-Mar-25,4.33,4.38,4.21,4.24,4.24,"44,428,700"
5-Mar-25,4.32,4.42,4.27,4.35,4.35,"48,201,100"
4-Mar-25,4.18,4.3,4.1,4.22,4.22,"41,666,800"
3-Mar-25,4.49,4.56,4.2,4.23,4.23,"80,304,000"
28-Feb-25,4.55,4.67,4.43,4.63,4.63,"60,898,600"
27-Feb-25,4.67,5.13,4.64,4.79,4.79,"134,805,400"
26-Feb-25,4.38,4.76,4.37,4.72,4.72,"121,284,300"
25-Feb-25,4.46,4.5,4.25,4.27,4.27,"49,948,700"
24-Feb-25,4.44,4.46,4.35,4.36,4.36,"37,454,200"
21-Feb-25,4.47,4.69,4.42,4.44,4.44,"101,148,600"
20-Feb-25,4.45,4.52,4.3,4.37,4.37,"39,236,400"
19-Feb-25,4.4,4.52,4.37,4.39,4.39,"74,651,800"
18-Feb-25,4.49,4.5,4.35,4.36,4.36,"43,222,800"
14-Feb-25,4.35,4.55,4.32,4.44,4.44,"54,299,000"
13-Feb-25,4.17,4.29,4.16,4.26,4.26,"51,756,300"
12-Feb-25,4.08,4.22,4.05,4.21,4.21,"73,192,500"
11-Feb-25,4.21,4.21,4.03,4.04,4.04,"69,228,700"
10-Feb-25,4.32,4.35,4.24,4.33,4.33,"28,705,400"
7-Feb-25,4.28,4.33,4.19,4.24,4.24,"37,198,200"
6-Feb-25,4.24,4.3,4.16,4.2,4.2,"31,997,700"
5-Feb-25,4.26,4.29,4.18,4.2,4.2,"35,838,100"
4-Feb-25,4.37,4.5,4.36,4.39,4.39,"44,232,100"
3-Feb-25,4.17,4.39,4.11,4.28,4.28,"63,162,700"
31-Jan-25,4.43,4.5,4.3,4.32,4.32,"37,501,700"
30-Jan-25,4.27,4.47,4.27,4.44,4.44,"49,084,900"
29-Jan-25,4.32,4.35,4.22,4.22,4.22,"24,440,700"
28-Jan-25,4.27,4.33,4.17,4.32,4.32,"37,121,700"
27-Jan-25,4.32,4.42,4.25,4.27,4.27,"51,189,500"
24-Jan-25,4.19,4.35,4.14,4.29,4.29,"40,544,500"
23-Jan-25,4.22,4.22,4.09,4.13,4.13,"33,088,000"
22-Jan-25,4.17,4.36,4.13,4.28,4.28,"39,859,000"
21-Jan-25,4.35,4.38,4.17,4.18,4.18,"38,457,500"
17-Jan-25,4.21,4.42,4.19,4.36,4.36,"50,447,600"
16-Jan-25,4.1,4.2,4.08,4.16,4.16,"28,870,100"
15-Jan-25,4.11,4.14,4.02,4.1,4.1,"32,661,000"
14-Jan-25,4.14,4.2,4.02,4.08,4.08,"32,476,600"
13-Jan-25,4.12,4.12,4.01,4.06,4.06,"36,105,400"
10-Jan-25,4.25,4.27,4.16,4.17,4.17,"41,829,000"
8-Jan-25,4.4,4.41,4.26,4.32,4.32,"49,570,100"
7-Jan-25,4.63,4.68,4.45,4.51,4.51,"61,962,000"
6-Jan-25,4.76,4.91,4.67,4.71,4.71,"53,340,700"
3-Jan-25,4.52,4.66,4.46,4.63,4.63,"35,597,900"
2-Jan-25,4.42,4.73,4.36,4.55,4.55,"63,007,700"
31-Dec-24,4.43,4.56,4.35,4.36,4.36,"39,899,700"
30-Dec-24,4.43,4.47,4.33,4.38,4.38,"36,562,600"
27-Dec-24,4.64,4.65,4.48,4.48,4.48,"41,203,600"
26-Dec-24,4.63,4.83,4.61,4.69,4.69,"33,687,400"
24-Dec-24,4.51,4.68,4.51,4.62,4.62,"24,244,400"
23-Dec-24,4.5,4.55,4.47,4.48,4.48,"32,756,000"
