Date,Open,High,Low,Close ,Adj Close ,Volume
10-Apr-25,103.71,103.78,101.38,101.4,101.4,"3,182,370"
9-Apr-25,99.37,106.58,98.13,105.8,105.8,"30,054,600"
8-Apr-25,105.46,105.6,99.01,100.77,100.77,"27,147,800"
7-Apr-25,100.39,105.8,98.46,102.94,102.94,"35,068,500"
4-Apr-25,109.87,110.83,103.83,104.34,104.34,"30,841,300"
3-Apr-25,114.37,115.45,112.23,112.43,112.43,"21,204,600"
2-Apr-25,118.39,118.84,117.66,118.67,118.67,"12,614,600"
1-Apr-25,119.22,119.28,117.93,119.04,119.04,"12,425,400"
31-Mar-25,117.79,119.91,117.79,118.93,118.93,"21,652,300"
28-Mar-25,118.1,118.46,117.24,117.73,117.73,"10,233,400"
27-Mar-25,118.1,119.07,117.26,117.89,117.89,"12,740,800"
26-Mar-25,117.68,119.18,117.68,118.27,118.27,"14,110,800"
25-Mar-25,116.43,117.64,115.96,116.59,116.59,"12,081,800"
24-Mar-25,115.68,116.91,115.58,115.8,115.8,"14,207,500"
21-Mar-25,115.5,115.99,114.35,115.5,115.5,"41,102,800"
20-Mar-25,114.72,116.47,114.21,115.9,115.9,"16,230,800"
19-Mar-25,114.2,115.82,113.83,115.41,115.41,"17,315,000"
18-Mar-25,114.09,114.54,112.57,113.64,113.64,"15,998,700"
17-Mar-25,111.8,114.5,111.73,113.76,113.76,"19,908,800"
14-Mar-25,108.94,112.18,108.31,111.9,111.9,"15,890,100"
13-Mar-25,108.33,110.82,107.63,108.67,108.67,"17,767,800"
12-Mar-25,109.05,110.13,108.42,109.13,109.13,"14,051,500"
11-Mar-25,111.92,112.1,108.79,109.16,109.16,"19,904,700"
10-Mar-25,109.28,112.57,109.08,111.8,111.8,"22,749,100"
7-Mar-25,108.41,110.4,108.3,109.02,109.02,"19,625,000"
6-Mar-25,105.43,108.11,104.36,107.62,107.62,"17,150,200"
5-Mar-25,105.84,106.33,103.67,105.44,105.44,"24,822,200"
4-Mar-25,106.36,108.96,105.94,107.54,107.54,"19,394,900"
3-Mar-25,111.7,112.16,106.51,107.76,107.76,"18,706,900"
28-Feb-25,110.11,111.58,109.34,111.33,111.33,"18,821,700"
27-Feb-25,110.01,111.29,109.28,110.15,110.15,"15,293,200"
26-Feb-25,109.74,109.87,108.52,109.46,109.46,"10,446,400"
25-Feb-25,111.3,112.13,108.89,109.73,109.73,"14,497,000"
24-Feb-25,110.93,111.86,110.32,111.27,111.27,"13,153,500"
21-Feb-25,111.32,111.85,110.56,110.69,110.69,"14,710,000"
20-Feb-25,110.57,112.42,109.95,112,112,"16,325,800"
19-Feb-25,110.76,112.13,110.06,110.3,110.3,"10,964,700"
18-Feb-25,108.63,110.99,108.32,110.14,110.14,"20,060,300"
14-Feb-25,108.52,110.23,108.1,108.24,108.24,"15,733,500"
13-Feb-25,107.15,108.41,106.52,108.13,108.13,"15,460,000"
12-Feb-25,110.05,110.23,107.18,107.35,107.35,"18,244,100"
11-Feb-25,111.6,112.51,110.82,111.67,110.68,"12,713,100"
10-Feb-25,110.01,111.03,109.88,110.97,109.99,"12,142,200"
7-Feb-25,108.78,109.73,108.32,108.89,107.92,"10,051,600"
6-Feb-25,110.77,111.05,107.99,108.43,107.47,"13,411,400"
5-Feb-25,109.74,110.01,109.1,109.88,108.91,"13,364,400"
4-Feb-25,106.71,110.28,106.53,109.96,108.99,"14,835,700"
3-Feb-25,106.64,107.3,105.32,107.09,106.14,"14,623,200"
31-Jan-25,110.55,110.55,106.1,106.83,105.88,"20,381,400"
30-Jan-25,109.24,109.85,108.7,109.57,108.6,"14,346,300"
29-Jan-25,107.71,108.78,107.47,108.67,107.71,"12,345,500"
28-Jan-25,110.41,110.87,107.79,108.04,107.08,"15,862,000"
27-Jan-25,109.01,110.45,108.39,110.17,109.19,"15,926,700"
24-Jan-25,110.24,110.71,108.41,108.66,107.7,"14,235,900"
23-Jan-25,110.31,111.14,109.61,110.15,109.17,"13,726,800"
22-Jan-25,111.2,111.57,109.4,109.53,108.56,"15,718,000"
21-Jan-25,112.05,112.18,111.13,111.47,110.48,"20,416,300"
17-Jan-25,111.03,112.87,110.82,112.32,111.32,"19,298,500"
16-Jan-25,111.19,111.69,110.55,111.32,110.33,"10,366,600"
15-Jan-25,110.05,111.73,109.47,111.51,110.52,"14,521,100"
14-Jan-25,108.79,109.76,107.83,109.72,108.75,"11,191,200"
13-Jan-25,107.13,109.63,107.13,109.29,108.32,"17,073,400"
10-Jan-25,108.7,110.1,105.78,106.54,105.6,"19,304,500"
8-Jan-25,107.31,107.71,106.01,106.93,105.98,"17,858,100"
7-Jan-25,108.94,110.06,108.28,108.75,107.79,"12,625,900"
6-Jan-25,108.24,109.78,107.52,107.74,106.78,"15,623,700"
3-Jan-25,108,108.49,107.46,107.86,106.9,"14,237,900"
2-Jan-25,108.28,109,106.88,107.31,106.36,"12,685,400"
31-Dec-24,106.17,107.9,105.78,107.57,106.62,"12,387,800"
30-Dec-24,106.3,106.56,105.51,105.76,104.82,"11,080,800"
27-Dec-24,106.3,107.99,105.77,106.48,105.54,"11,943,900"
26-Dec-24,106.52,107.03,105.94,106.49,105.55,"9,652,400"
24-Dec-24,106.52,107.19,105.7,106.4,105.46,"7,807,000"
23-Dec-24,105.31,106.6,104.92,106.3,105.36,"12,285,100"
20-Dec-24,105.45,106.14,104.84,105.87,104.93,"40,141,200"
19-Dec-24,107.39,107.67,105.21,105.51,104.57,"20,565,600"
18-Dec-24,107.57,108.83,106.31,106.42,105.48,"17,114,500"
17-Dec-24,107.24,108.17,106.79,108.01,107.05,"17,554,000"
16-Dec-24,110.2,110.4,108.16,108.47,107.51,"20,256,100"
13-Dec-24,111.9,111.9,110.25,110.84,109.86,"13,106,100"
12-Dec-24,111.59,112.38,110.78,111.82,110.83,"14,543,300"
11-Dec-24,112,112.39,111.11,111.92,110.93,"32,392,200"
10-Dec-24,113.59,113.88,111.75,112.67,111.67,"20,990,900"
9-Dec-24,114.64,114.94,112.75,112.9,111.9,"17,412,600"
6-Dec-24,114.54,114.77,113.5,113.57,112.56,"16,171,100"
5-Dec-24,114.71,115.62,114.06,114.78,113.76,"15,751,200"
4-Dec-24,117.5,117.55,113.86,114.28,113.27,"19,520,600"
3-Dec-24,118.72,118.72,117.26,117.67,116.63,"11,756,600"
2-Dec-24,118.05,118.2,116.82,117.85,116.81,"12,687,300"
29-Nov-24,117.44,118.5,116.95,117.96,116.91,"9,426,500"
27-Nov-24,118.09,118.73,117.43,117.66,116.62,"11,079,100"
26-Nov-24,119.53,119.68,117.85,117.97,116.92,"14,827,300"
25-Nov-24,121.43,121.88,119.61,119.97,118.91,"26,580,300"
22-Nov-24,121.82,123.21,121.64,121.79,120.71,"13,323,400"
21-Nov-24,121.08,122.55,120.27,121.93,120.85,"14,675,400"
20-Nov-24,119.17,120.47,118.64,120.32,119.25,"11,360,900"
19-Nov-24,119.75,119.75,118.2,118.63,117.58,"11,584,400"
18-Nov-24,119.79,120.62,119.27,120.31,119.24,"14,243,700"
15-Nov-24,120.4,121.24,119.13,119.31,118.25,"19,051,700"
14-Nov-24,121.66,121.88,120.33,120.56,119.49,"13,041,800"
13-Nov-24,120.57,122.05,118.8,121.47,119.41,"15,127,900"
12-Nov-24,121.13,121.31,119.84,120.35,118.31,"11,972,800"
11-Nov-24,121,121.62,120.07,120.47,118.43,"11,969,700"
8-Nov-24,120.98,121.42,119.66,121.11,119.06,"12,836,000"
7-Nov-24,121.3,121.5,119.61,121.15,119.1,"12,184,400"
6-Nov-24,121.15,121.91,119.3,121,118.95,"20,807,700"
5-Nov-24,119.08,119.21,118.01,118.96,116.94,"10,436,700"
4-Nov-24,116.07,118.7,115.93,118.61,116.6,"14,965,400"
1-Nov-24,119.93,119.95,114.84,114.95,113,"20,939,300"
