Date,Close/Last,Volume,Open,High,Low,,,,,,,,,
9-Apr-25,99.66,"8,849,800",91.18,100.19,90.55,,,,,,,,,
8-Apr-25,91.92,"8,233,800",97.8,97.8,90.71,,,,,,,,,
7-Apr-25,95.56,"8,729,800",95,99.2,93.23,,,,,,,,,
4-Apr-25,97.71,"9,567,700",98.33,100.59,96.57,,,,,,,,,
3-Apr-25,100.12,"10,057,700",106.74,107.39,99.97,,,,,,,,,
2-Apr-25,110.2,"4,540,000",108.85,110.5,108.59,,,,,,,,,
1-Apr-25,109.26,"5,877,400",110.01,110.1,108.18,,,,,,,,,
31-Mar-25,109.99,"6,536,100",109.01,110.86,108.3,,,,,,,,,
28-Mar-25,109.66,"3,284,100",111.26,111.34,109.62,,,,,,,,,
27-Mar-25,111.01,"4,031,700",110.82,111.78,110.42,,,,,,,,,
26-Mar-25,111.01,"6,609,200",110.7,112.35,110.36,,,,,,,,,
25-Mar-25,109.95,"10,645,500",115.83,116,109.89,,,,,,,,,
24-Mar-25,115.8,"6,611,600",115.72,117.19,115.25,,,,,,,,,
21-Mar-25,115.1,"19,575,300",114.36,115.42,112.46,,,,,,,,,
20-Mar-25,116.98,"3,655,600",116.27,118.21,116.25,,,,,,,,,
19-Mar-25,117.47,"5,010,300",118.37,118.87,116.26,,,,,,,,,
18-Mar-25,118.86,"3,930,700",118.04,119,117.86,,,,,,,,,
17-Mar-25,118.06,"4,427,900",117,118.78,116.92,,,,,,,,,
3/14/25,$116.76 ,4020717,$115.79 ,$116.92 ,$115.09 ,,,,,,,,,
3/13/25,$115.23 ,4629136,$115.77 ,$117.47 ,$114.96 ,,,,,,,,,
3/12/25,$115.26 ,4970937,$115.90 ,$116.07 ,$114.95 ,,,,,,,,,
3/11/25,$116.36 ,6498313,$120.27 ,$120.58 ,$115.94 ,,,,,,,,,
3/10/25,$120.62 ,6279869,$121.04 ,$123.70 ,$120.05 ,,,,,,,,,
3/7/25,$121.62 ,5635793,$119.60 ,$121.66 ,$119.32 ,,,,,,,,,
3/6/25,$120.50 ,5742074,$118.94 ,$120.58 ,$118.17 ,,,,,,,,,
3/5/25,$119.02 ,6812003,$117.48 ,$119.59 ,$117.32 ,,,,,,,,,
3/4/25,$116.79 ,5387043,$118.49 ,$118.66 ,$116.60 ,,,,,,,,,
3/3/25,$119.26 ,5165125,$119.82 ,$120.98 ,$118.77 ,,,,,,,,,
2/28/25,$119.03 ,8754868,$117.80 ,$119.63 ,$117.80 ,,,,,,,,,
2/27/25,$117.63 ,4821600,$117.00 ,$118.73 ,$116.99 ,,,,,,,,,
2/26/25,$116.89 ,3445341,$118.10 ,$118.57 ,$116.72 ,,,,,,,,,
2/25/25,$118.11 ,4985615,$116.46 ,$118.34 ,$116.46 ,,,,,,,,,
2/24/25,$116.16 ,6269889,$116.58 ,$118.08 ,$115.86 ,,,,,,,,,
2/21/25,$116.33 ,6459937,$116.45 ,$116.85 ,$115.26 ,,,,,,,,,
2/20/25,$116.60 ,5801169,$114.97 ,$116.63 ,$114.85 ,,,,,,,,,
2/19/25,$115.00 ,4252012,$114.96 ,$115.44 ,$114.25 ,,,,,,,,,
2/18/25,$115.42 ,5407835,$114.55 ,$115.78 ,$113.92 ,,,,,,,,,
2/14/25,$116.22 ,5942315,$116.06 ,$116.76 ,$115.66 ,,,,,,,,,
2/13/25,$115.64 ,5854015,$114.54 ,$116.13 ,$114.35 ,,,,,,,,,
2/12/25,$114.26 ,5172931,$113.35 ,$114.84 ,$113.29 ,,,,,,,,,
2/11/25,$114.53 ,4589131,$114.00 ,$114.71 ,$113.42 ,,,,,,,,,
2/10/25,$114.16 ,6101467,$113.52 ,$114.77 ,$112.76 ,,,,,,,,,
2/7/25,$113.11 ,4830714,$113.87 ,$113.96 ,$112.62 ,,,,,,,,,
2/6/25,$113.47 ,6318203,$112.35 ,$113.87 ,$112.27 ,,,,,,,,,
2/5/25,$111.90 ,7122930,$111.72 ,$112.67 ,$111.01 ,,,,,,,,,
2/4/25,$111.77 ,9347797,$111.34 ,$112.15 ,$110.21 ,,,,,,,,,
2/3/25,$111.29 ,12635200,$112.33 ,$112.56 ,$109.40 ,,,,,,,,,
1/31/25,$114.23 ,15866060,$115.01 ,$116.59 ,$113.36 ,,,,,,,,,
1/30/25,$114.90 ,41170420,$117.39 ,$117.98 ,$109.62 ,,,,,,,,,
1/29/25,$133.78 ,4262114,$136.03 ,$136.58 ,$133.63 ,,,,,,,,,
1/28/25,$135.42 ,3094469,$135.76 ,$136.99 ,$135.35 ,,,,,,,,,
1/27/25,$136.26 ,4944374,$133.90 ,$136.86 ,$133.74 ,,,,,,,,,
1/24/25,$133.03 ,3212277,$133.40 ,$133.90 ,$132.53 ,,,,,,,,,
1/23/25,$133.61 ,3282621,$132.94 ,$133.67 ,$132.01 ,,,,,,,,,
1/22/25,$132.55 ,4420652,$132.66 ,$133.43 ,$131.25 ,,,,,,,,,
1/21/25,$132.87 ,5283149,$130.42 ,$133.57 ,$130.15 ,,,,,,,,,
1/17/25,$129.73 ,4261052,$130.15 ,$130.58 ,$129.43 ,,,,,,,,,
1/16/25,$129.94 ,5471669,$129.51 ,$130.66 ,$128.77 ,,,,,,,,,
1/15/25,$127.47 ,4315931,$127.50 ,$127.96 ,$126.58 ,,,,,,,,,
1/14/25,$125.84 ,4247608,$125.37 ,$125.93 ,$124.56 ,,,,,,,,,
1/13/25,$125.01 ,6939181,$123.34 ,$125.17 ,$121.56 ,,,,,,,,,
1/10/25,$123.28 ,5231805,$125.01 ,$125.43 ,$122.90 ,,,,,,,,,
1/8/25,$126.76 ,4536284,$125.91 ,$126.78 ,$125.22 ,,,,,,,,,
1/7/25,$124.98 ,3725331,$125.18 ,$127.08 ,$124.01 ,,,,,,,,,
1/6/25,$124.21 ,5049586,$124.70 ,$125.00 ,$123.81 ,,,,,,,,,
1/3/25,$123.79 ,3493504,$123.96 ,$124.33 ,$122.76 ,,,,,,,,,
1/2/25,$123.87 ,3053404,$127.04 ,$127.22 ,$123.54 ,,,,,,,,,
12/31/24,$126.10 ,3401157,$125.38 ,$126.13 ,$125.04 ,,,,,,,,,
12/30/24,$125.32 ,2953869,$125.15 ,$125.83 ,$124.21 ,,,,,,,,,
12/27/24,$126.11 ,2903993,$125.85 ,$126.86 ,$125.35 ,,,,,,,,,
12/26/24,$126.36 ,3011956,$125.58 ,$127.06 ,$125.44 ,,,,,,,,,
12/24/24,$126.26 ,1579166,$125.21 ,$126.31 ,$124.50 ,,,,,,,,,
12/23/24,$125.75 ,3418979,$125.33 ,$125.93 ,$124.25 ,,,,,,,,,
12/20/24,$125.68 ,12898960,$124.04 ,$126.82 ,$122.01 ,,,,,,,,,
12/19/24,$122.65 ,6391833,$124.07 ,$124.66 ,$122.33 ,,,,,,,,,
12/18/24,$123.82 ,4849428,$126.90 ,$127.13 ,$123.75 ,,,,,,,,,
12/17/24,$127.32 ,3549524,$128.00 ,$128.86 ,$126.78 ,,,,,,,,,
12/16/24,$128.55 ,4516347,$128.58 ,$130.30 ,$128.23 ,,,,,,,,,
12/13/24,$128.76 ,4284756,$129.03 ,$129.04 ,$127.58 ,,,,,,,,,
12/12/24,$128.98 ,4980054,$129.26 ,$129.44 ,$127.60 ,,,,,,,,,
12/11/24,$129.12 ,7485484,$130.33 ,$130.49 ,$128.87 ,,,,,,,,,
12/10/24,$130.22 ,6415908,$129.30 ,$130.92 ,$128.06 ,,,,,,,,,
12/9/24,$128.53 ,6139476,$126.18 ,$128.79 ,$125.55 ,,,,,,,,,
12/6/24,$125.61 ,5745026,$128.10 ,$128.55 ,$125.41 ,,,,,,,,,
12/5/24,$127.59 ,4632456,$129.41 ,$129.68 ,$127.45 ,,,,,,,,,
12/4/24,$128.78 ,4793187,$129.63 ,$129.63 ,$127.80 ,,,,,,,,,
12/3/24,$129.71 ,5604749,$133.96 ,$134.21 ,$129.51 ,,,,,,,,,
12/2/24,$134.02 ,2832267,$136.14 ,$136.14 ,$133.14 ,,,,,,,,,
11/29/24,$135.72 ,1533478,$134.80 ,$136.57 ,$134.64 ,,,,,,,,,
11/27/24,$135.68 ,2453562,$135.16 ,$137.10 ,$135.16 ,,,,,,,,,
11/26/24,$134.96 ,3424925,$137.22 ,$137.59 ,$134.31 ,,,,,,,,,
11/25/24,$137.54 ,5028981,$135.98 ,$138.67 ,$135.98 ,,,,,,,,,
11/22/24,$134.82 ,3677530,$131.68 ,$135.09 ,$131.68 ,,,,,,,,,
11/21/24,$131.37 ,3014861,$131.77 ,$132.55 ,$131.01 ,,,,,,,,,
11/20/24,$132.09 ,3848561,$133.38 ,$133.42 ,$130.82 ,,,,,,,,,
11/19/24,$133.20 ,3836043,$134.74 ,$134.74 ,$132.67 ,,,,,,,,,
11/18/24,$135.13 ,4038431,$132.30 ,$135.31 ,$132.03 ,,,,,,,,,
11/15/24,$134.07 ,3337614,$132.28 ,$134.11 ,$132.09 ,,,,,,,,,
11/14/24,$132.64 ,2971310,$133.65 ,$133.93 ,$132.04 ,,,,,,,,,
11/13/24,$133.68 ,5345566,$130.65 ,$134.31 ,$129.80 ,,,,,,,,,
11/12/24,$130.14 ,3243546,$131.93 ,$132.30 ,$130.01 ,,,,,,,,,
11/11/24,$131.61 ,4684099,$132.66 ,$133.73 ,$131.24 ,,,,,,,,,
11/8/24,$132.44 ,3111704,$134.11 ,$134.12 ,$132.24 ,,,,,,,,,
11/7/24,$134.15 ,3075746,$135.15 ,$135.40 ,$134.04 ,,,,,,,,,
11/6/24,$133.92 ,5624560,$135.35 ,$135.79 ,$132.20 ,,,,,,,,,
11/5/24,$133.84 ,2537939,$132.70 ,$133.86 ,$132.07 ,,,,,,,,,
11/4/24,$133.00 ,2422184,$134.36 ,$134.77 ,$132.10 ,,,,,,,,,
11/1/24,$134.05 ,2266708,$134.58 ,$135.37 ,$133.43 ,,,,,,,,,
10/31/24,$134.06 ,3303629,$133.65 ,$134.92 ,$133.03 ,,,,,,,,,
10/30/24,$133.80 ,2754597,$134.00 ,$135.32 ,$133.60 ,,,,,,,,,
10/29/24,$134.31 ,3061701,$134.75 ,$136.07 ,$133.97 ,,,,,,,,,
10/28/24,$135.34 ,4069014,$137.33 ,$137.79 ,$135.17 ,,,,,,,,,
10/25/24,$137.43 ,4916651,$138.34 ,$140.33 ,$137.18 ,,,,,,,,,
10/24/24,$138.35 ,11959770,$145.00 ,$145.01 ,$136.57 ,,,,,,,,,
10/23/24,$131.41 ,3454470,$131.24 ,$132.10 ,$130.55 ,,,,,,,,,
10/22/24,$131.33 ,3280064,$130.82 ,$132.10 ,$129.77 ,,,,,,,,,
10/21/24,$131.33 ,4413959,$133.52 ,$133.85 ,$131.11 ,,,,,,,,,
10/18/24,$135.93 ,3237527,$136.14 ,$136.45 ,$135.19 ,,,,,,,,,
10/17/24,$135.41 ,3800656,$135.85 ,$136.23 ,$134.98 ,,,,,,,,,
10/16/24,$135.84 ,4056738,$134.51 ,$136.26 ,$134.51 ,,,,,,,,,
10/15/24,$133.80 ,2957484,$134.94 ,$136.40 ,$133.67 ,,,,,,,,,
10/14/24,$134.57 ,2319592,$134.00 ,$134.84 ,$133.26 ,,,,,,,,,
10/11/24,$134.60 ,2429780,$133.27 ,$134.90 ,$133.10 ,,,,,,,,,
10/10/24,$132.84 ,2462615,$132.71 ,$134.08 ,$132.55 ,,,,,,,,,
10/9/24,$133.00 ,2704118,$131.93 ,$133.45 ,$131.76 ,,,,,,,,,
10/8/24,$130.96 ,2618240,$131.51 ,$131.78 ,$130.50 ,,,,,,,,,
10/7/24,$131.20 ,1955556,$131.04 ,$131.78 ,$130.15 ,,,,,,,,,
10/4/24,$131.25 ,3270680,$131.85 ,$132.44 ,$130.42 ,,,,,,,,,
10/3/24,$130.72 ,3634967,$132.59 ,$132.59 ,$130.33 ,,,,,,,,,
10/2/24,$133.01 ,2258357,$133.49 ,$134.39 ,$132.54 ,,,,,,,,,
10/1/24,$133.27 ,3658546,$136.30 ,$136.46 ,$132.01 ,,,,,,,,,
